variable,n_above,n_below,mean_above,mean_below,mean_diff_above_minus_below,normality_p_above,normality_p_below,test_used,test_statistic,p_value,alpha_normality
ACENEG,22,55,1.1856818181818183,0.13985454545454545,1.0458272727272728,3.3536688669528323e-09,1.775776142193677e-16,MannWhitneyU,649.0,0.1434572865693791,0.05
ARTLUD,22,55,1.587409090909091,0.5591818181818181,1.028227272727273,8.224174040403748e-06,3.0386394675623495e-12,MannWhitneyU,822.0,0.006360608763266503,0.05
BACSALF,22,55,1.5858636363636363,5.093672727272728,-3.5078090909090918,8.297913288003748e-07,9.706706836207667e-10,MannWhitneyU,430.5,0.041711722849018855,0.05
BACSALN,22,55,2.8521818181818186,3.3549999999999995,-0.5028181818181809,2.4960307194183372e-05,1.733115734522068e-09,MannWhitneyU,555.0,0.5576406085160028,0.05
BERFRE,22,55,0.39968181818181814,0.0,0.39968181818181814,7.417016185076831e-10,1.0,MannWhitneyU,632.5,0.12056873116052216,0.05
BRANIG,22,55,0.05981818181818182,0.3854727272727273,-0.3256545454545455,7.417016185076831e-10,8.0053068090251e-16,MannWhitneyU,588.5,0.6727502465162913,0.05
BRILON,22,55,0.4185909090909092,0.5792545454545455,-0.1606636363636363,3.2089186487859593e-07,8.112106683496795e-15,MannWhitneyU,618.0,0.8574063188907961,0.05
BRORUB,22,55,0.24995454545454548,0.46750909090909093,-0.21755454545454544,3.153517106218374e-07,6.695779752128665e-13,MannWhitneyU,595.0,0.8975414176263821,0.05
BROTEC,22,55,8.30440909090909,4.8216363636363635,3.4827727272727262,0.007191012096690824,5.280335707436008e-08,MannWhitneyU,782.0,0.046045925174670835,0.05
CLELIG,22,55,0.9834545454545455,0.05667272727272727,0.9267818181818182,6.36376060548399e-08,1.325419226717593e-15,MannWhitneyU,687.0,0.06536947606810929,0.05
ECHCRU,22,55,0.0,1.6636181818181817,-1.6636181818181817,1.0,7.023199855587372e-16,MannWhitneyU,572.0,0.27436151502164163,0.05
ELYELY,22,55,0.5894545454545455,0.020854545454545455,0.5686,7.417016185076831e-10,3.132770258339263e-16,MannWhitneyU,611.5,0.8400744958885221,0.05
EQULAE,22,55,0.5466363636363636,1.2838181818181817,-0.7371818181818182,0.00024105131725631155,1.2483044092022014e-13,MannWhitneyU,701.0,0.22874284708342296,0.05
ERINAU,22,55,1.6120000000000003,0.4910909090909091,1.1209090909090913,5.119252783109205e-07,3.385427088974364e-15,MannWhitneyU,741.0,0.015505659346800297,0.05
EUPACE,22,55,0.7970909090909092,0.04772727272727273,0.7493636363636365,1.5873202509833913e-07,1.8097767983308612e-15,MannWhitneyU,767.0,0.0018244440132569812,0.05
EUTOCC,22,55,1.6569090909090909,0.20596363636363635,1.4509454545454545,1.0355022554905666e-08,5.44460232332499e-13,MannWhitneyU,666.0,0.37624313018685773,0.05
JUNBAL,22,55,2.2357272727272726,1.6406363636363637,0.5950909090909089,4.790816809234566e-07,8.610422298759656e-11,MannWhitneyU,521.5,0.3275980709837175,0.05
JUNLON,22,55,0.0,0.4154909090909091,-0.4154909090909091,1.0,1.775776142193677e-16,MannWhitneyU,594.0,0.5460380914528531,0.05
JUNTOR,22,55,0.0,0.2647818181818182,-0.2647818181818182,1.0,2.827786362550144e-15,MannWhitneyU,561.0,0.2021651492387917,0.05
OENPAL,22,55,0.33822727272727277,0.5369272727272728,-0.19870000000000004,1.0191179914757054e-08,6.402383998828208e-15,MannWhitneyU,662.0,0.3568051826204587,0.05
PARINS,22,55,1.9810909090909092,0.0,1.9810909090909092,4.3697318041060475e-07,1.0,MannWhitneyU,770.0,6.589586086988909e-05,0.05
PHRAUS,22,55,2.3523181818181818,0.9997454545454545,1.3525727272727273,5.366620746218537e-08,1.1217770540746526e-13,MannWhitneyU,563.5,0.5953708059829077,0.05
POLMON,22,55,0.7778181818181817,2.704218181818182,-1.9264000000000001,1.4527234896123031e-08,3.440472923357433e-12,MannWhitneyU,527.5,0.33182088371528695,0.05
POLVIR,22,55,1.1393636363636366,0.04232727272727273,1.0970363636363638,2.2644938164451723e-09,9.758534668268834e-16,MannWhitneyU,713.0,0.02208528114344304,0.05
POPFRE,22,55,5.825045454545455,1.4678363636363638,4.357209090909091,4.3768494145071614e-05,1.9243252480030344e-12,MannWhitneyU,877.0,0.0004961843674865745,0.05
QUEGAM,22,55,5.142590909090909,0.0,5.142590909090909,7.141346359501872e-07,1.0,MannWhitneyU,797.5,1.4174623664470089e-05,0.05
SACRAV,22,55,0.6383636363636364,0.1358181818181818,0.5025454545454545,1.8696754513058224e-09,6.411082706315197e-15,MannWhitneyU,634.0,0.5439676436798426,0.05
SALEXI,22,55,3.178681818181818,9.478181818181817,-6.299499999999998,0.0002922174024406477,4.4061354346746527e-11,MannWhitneyU,498.5,0.22287988481206622,0.05
SALGOO,22,55,1.9420454545454546,2.990854545454545,-1.0488090909090906,1.3393322140407984e-07,2.1135222110921528e-13,MannWhitneyU,604.5,1.0,0.05
SALTRA,22,55,0.04218181818181818,1.6095090909090908,-1.5673272727272727,5.604807214958281e-09,1.5684238566268348e-13,MannWhitneyU,463.0,0.03499679219232745,0.05
SOLCAN,22,55,3.0186818181818182,0.18263636363636362,2.8360454545454545,1.1101645998052617e-05,1.2795392802388371e-15,MannWhitneyU,786.0,0.0018150750823606992,0.05
STETEN,22,55,0.0,0.3881818181818182,-0.3881818181818182,1.0,4.224779184446907e-15,MannWhitneyU,495.0,0.03454037277233826,0.05
TAMRAM,22,55,3.218454545454546,5.091345454545454,-1.8728909090909083,5.114422006561594e-07,5.6500059697397297e-08,MannWhitneyU,416.0,0.03055669296262902,0.05
TYPDOM,22,55,0.5988636363636363,0.37989090909090906,0.2189727272727272,3.32607387156155e-09,1.91177246406282e-11,MannWhitneyU,517.0,0.22285969845120224,0.05
VERAME,22,55,0.017954545454545456,0.5335272727272727,-0.5155727272727273,5.844875095271265e-09,4.939972518367858e-13,MannWhitneyU,464.0,0.0363006878177249,0.05
VULOCT,22,55,1.039590909090909,1.1685272727272729,-0.12893636363636385,1.75408071751348e-07,5.406179748999151e-09,MannWhitneyU,479.0,0.14328083874827566,0.05
