site,location,ab,elevation,year,age,ageclassn,ageclass,ACENEG,ARTLUD,BACSALF,BACSALN,BERFRE,BRANIG,BRILON,BRORUB,BROTEC,CLELIG,ECHCRU,ELYELY,EQULAE,ERINAU,EUPACE,EUTOCC,JUNBAL,JUNLON,JUNTOR,OENPAL,PARINS,PHRAUS,POLMON,POLVIR,POPFRE,QUEGAM,SACRAV,SALEXI,SALGOO,SALTRA,SOLCAN,STETEN,TAMRAM,TYPDOM,VERAME,VULOCT
50MAL1,50M,above,3735,2022,50,50,> 50,0.000,0.270,4.952,0.000,0.000,0.000,0.000,0.000,0.263,0.000,0.000,0.000,1.364,11.765,3.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.849,0.000,0.000,6.722,0.000,0.000,0.000,0.000,0.000,10.097,0.000,0.000
50MAL2,50M,below,3705,2022,39,40,> 50,0.000,0.000,32.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.244,1.542,0.000,0.000
50MBL1,50M,below,3675,2022,22,25,21 to 25,0.000,0.000,21.438,5.060,0.000,0.000,0.000,0.160,0.152,0.000,0.000,0.000,4.185,0.000,0.000,0.000,5.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.691,0.000,2.586,15.449,0.000,0.000,0.000,0.000,1.830,1.103,0.000,0.184
50MBL2,50M,below,3605,2022,2,2,2,0.000,0.000,0.975,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.356,0.000,0.598,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.957,0.000,0.000,0.281,0.000,23.146,0.000,0.000,0.149,0.599,0.149,0.336
50MBL3,50M,below,3570,2022,1,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.152,0.000,0.000,0.000,0.000,0.000,1.807,0.000,0.000,0.000,0.000,0.852,0.000,0.000,0.000,0.000,9.857,0.000,5.183,1.166
7MAL1,7M,above,3735,2023,50,50,> 50,0.000,0.000,0.000,0.000,8.793,0.000,0.000,0.000,0.641,0.000,0.000,0.000,0.000,0.000,0.000,0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.220
7MAL2,7M,above,3725,2023,50,50,> 50,0.000,2.974,0.000,3.812,0.000,0.000,0.000,0.000,21.712,0.000,0.000,0.000,0.000,0.000,2.694,7.894,18.561,0.000,0.000,0.000,10.219,0.253,0.000,0.000,0.211,0.000,0.000,1.502,0.000,0.000,0.000,0.000,0.000,1.808,0.000,1.989
7MBL1,7M,below,3680,2023,23,25,21 to 25,0.000,0.938,0.000,3.128,0.000,0.000,0.156,0.000,24.537,0.000,0.000,0.000,0.000,0.000,1.255,0.156,1.225,0.000,0.000,1.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.385,0.000,0.000,0.000,0.000,1.246,0.000,0.000,2.220
7MBL2,7M,below,3625,2023,6,6,6,0.000,0.000,0.000,0.458,0.000,0.000,0.145,0.000,4.749,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.601,0.000,0.000,0.000,0.000,0.156,0.454,0.000,3.944
7MBL3,7M,below,3570,2023,2,2,2,0.000,0.893,0.145,2.003,0.000,0.000,0.938,0.000,4.205,0.000,0.000,0.000,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.274,0.000,0.000,0.000,0.000,0.000,0.000,1.936,0.000,0.000,0.833,0.000,0.440,3.399
ARBL2,AR,below,3590,2023,3,4,3 to 4,0.000,0.000,34.589,0.000,0.000,0.000,0.000,5.728,1.442,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.800,0.000,0.000,0.000,0.000,0.000,0.000,1.786,0.000,10.582,0.000,0.000,0.000,0.338
CDBL1,CD,below,3630,2023,6,6,6,0.000,0.990,2.287,0.000,0.000,0.000,2.545,0.000,2.183,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.472,28.043,0.152,0.000,0.000,9.402,0.000,0.000,0.856
CDBL2,CD,below,3570,2023,2,2,2,0.000,0.000,1.485,0.000,0.000,0.000,0.000,0.000,7.881,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.318,0.000,0.000,0.000,0.000,0.000,10.483,0.000,0.000,0.000,0.000,3.811,0.000,4.321,0.000,0.000,2.176,0.000,7.302,0.145
COAL1,CO,above,3720,2023,50,50,> 50,0.000,1.913,0.139,6.549,0.000,0.000,3.769,0.962,7.682,0.000,0.000,0.000,0.587,0.000,0.000,1.100,2.382,0.000,0.000,4.613,0.000,0.000,0.000,20.350,17.260,0.000,0.000,0.000,0.000,0.000,5.083,0.000,4.437,0.000,0.000,0.000
COAL2,CO,above,3710,2023,50,50,> 50,0.000,0.541,0.000,3.592,0.000,0.000,1.341,0.000,8.897,1.162,0.000,0.000,0.341,10.269,0.376,2.614,4.433,0.000,0.000,0.000,0.000,0.000,0.000,2.132,11.586,0.000,0.000,0.974,0.000,0.000,2.254,0.000,0.000,0.000,0.162,0.000
COBL1,CO,below,3660,2023,12,12,11 to 12,0.000,1.232,0.000,5.395,0.000,0.000,0.152,0.142,13.881,0.000,0.000,0.000,0.724,0.000,0.000,0.260,4.391,0.000,0.000,0.000,0.000,1.105,0.000,0.000,3.315,0.000,0.000,8.119,0.000,0.000,0.000,0.000,17.464,0.000,0.000,0.000
COBL2,CO,below,3630,2023,6,6,6,0.000,0.000,11.612,0.000,0.000,0.000,2.604,0.856,28.450,0.000,0.000,0.000,0.000,0.000,0.000,1.770,0.268,0.000,0.000,0.000,0.000,2.859,0.000,0.000,0.000,0.000,0.000,14.167,27.402,0.000,0.000,0.000,0.000,0.149,0.110,0.521
CWCAL1,CWC,above,3740,2022,50,50,> 50,0.000,4.551,0.000,12.704,0.000,0.000,0.000,1.706,19.302,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.399,0.000,0.000,0.000,0.000,0.000,9.886,0.000,0.000,0.000,14.923,0.000,0.000,0.197
CWCAL2,CWC,above,3710,2022,50,50,> 50,0.000,0.000,0.833,13.227,0.000,0.000,0.000,0.000,8.299,0.000,0.000,0.000,2.637,3.472,0.196,0.000,1.328,0.000,0.000,0.000,0.000,0.000,0.152,0.000,9.000,0.000,11.847,3.591,0.000,0.000,0.000,0.000,0.190,0.152,0.000,7.448
CWCBL1,CWC,below,3665,2022,21,25,21 to 25,0.000,2.273,0.000,0.000,0.000,0.000,0.000,0.379,0.991,0.000,0.000,0.000,0.000,0.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.318,0.000,0.000,5.066
