site,location,ab,elevation,year,age,ageclassn,ageclass,ACENEG,ARTLUD,BACSALF,BACSALN,BERFRE,BRANIG,BRILON,BRORUB,BROTEC,CLELIG,ECHCRU,ELYELY,EQULAE,ERINAU,EUPACE,EUTOCC,JUNBAL,JUNLON,JUNTOR,OENPAL,PHRAUS,POLMON,POLVIR,POPFRE,QUEGAM,SACRAV,SALEXI,SALGOO,SALTRA,SOLCAN,STETEN,TAMRAM,TYPDOM,VERAME,VULOCT,PARINS
50MAL1,50M,above,3735,2022,50,50,> 50,0,0.27,3.488,0,0,0,0,0,1.707,0,0,0,1.364,10,0,0,0,0,0,0,0,0,0,1.622,8.293,0,5.418,0,0,0,0,0,7.214,0,0,0
50MAL2,50M,below,3705,2022,39,40,> 50,0,0,32.05,0,0,0,0,0,0,0,0,0,7.063,0,0,0,0,0,0,0,0,0,0,2.272,0,0,0,0,0,0,0,0.244,1.542,0,0,0
50MBL1,50M,below,3675,2022,22,25,21 to 25,0,0,21.438125,5.059375,0,0,0,0.16,0.1525,0,0,0,4.185,0,0,0,5.265625,0,0,0,0,0,0,4.690625,0,2.58625,15.44875,0,0,0,0,1.830625,1.103125,0,0.18375,0
50MBL2,50M,below,3605,2022,2,2,2,0,0,0.975,0,0,0,0,0,0,0,0,0,0,0,0.355625,0,0.5975,0,0,0,0,0,0,2.9575,0,0,0.280625,0,23.146875,0,0,0.14875,0.599375,0.14875,0.33625,0
50MBL3,50M,below,3570,2022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1525,0,0,0,0,1.8075,0,0,0,0,0.8525,0,0,0,0,9.856875,0,5.183125,1.16625,0
7MAL1,7M,above,3735,2023,50,50,> 50,0,0,0,0,12.79,0,0,0,0.931818182,0,0,0,0,0,0,0.216363636,0,0,0,0,0,0,0,15.07090909,0,0,0,0,0,0,0,0,0,0,1.774545455,0
7MAL2,7M,above,3725,2023,50,50,> 50,0,2.044375,0,8.710625,0,0,0,0,14.9275,0,0,0,0,0,1.851875,5.26625,12.76,0,0,0,0.17375,0,0,0.145625,0,0,1.031875,0,0,0,0,0,1.243125,0,1.368125,7.025
7MBL1,7M,below,3680,2023,23,25,21 to 25,0,0.9375,0,3.128125,0,0,0.15625,0,24.536875,0,0,0,0,0,1.255,0.15625,1.225,0,0,1.01375,0,0,0,0,0,0,3.385625,0,0,0,0,1.24625,0,0,2.22,0
7MBL2,7M,below,3625,2023,6,6,6,0,0,0,0.458125,0,0,0.145625,0,4.74875,0,0,0,0,0,0,0,17.03,0,0,0,0,0,0,0,0,0,6.60125,0,0,0,0,0.15625,0.45375,0,3.943125,0
7MBL3,7M,below,3570,2023,2,2,2,0,0.893125,0.145625,2.003125,0,0,0.9375,0,4.204375,0,0,0,0.145625,0,0,0,0,0,0,0,0,7.274375,0,0,0,0,0,0,1.935,0,0,0.833125,0,0.44,3.39875,0
ARBL2,AR,below,3590,2023,3,4,3 to 4,0,0,34.58875,0,0,0,0,5.72875,1.4425,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,1.78625,0,10.5825,0,0,0,0.3375,0
CDBL1,CD,below,3630,2023,6,6,6,0,0.99,2.286875,0,0,0,2.544375,0,2.18375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.471875,28.041875,0.1525,0,0,9.401875,0,0,0.85625,0
CDBL2,CD,below,3570,2023,2,2,2,0,0,1.485,0,0,0,0,0,7.88125,0,0,0,0,0,0,0,0.3175,0,0,0,0,10.483125,0,0,0,0,3.81125,0,4.32125,0,0,2.17625,0,7.3025,0.145625,0
COAL1,CO,above,3720,2023,50,50,> 50,0,1.913125,0.13875,6.54875,0,0,3.76875,0.96125,7.6825,0,0,0,0.58625,0,0,1.1,2.381875,0,0,4.61375,0,0,20.35,17.259375,0,0,0,0,0,5.0825,0,4.436875,0,0,0,0
COAL2,CO,above,3710,2023,50,50,> 50,0,0.540714286,0,3.592142857,0,0,1.341428571,0,8.896428571,1.162142857,0,0,0.340714286,10.26928571,0.375714286,2.613571429,4.798571429,0,0,0,0,0,2.132857143,11.58571429,0,0,0.974285714,0,0,2.254285714,0,0,0,0.162142857,0,0
COBL1,CO,below,3660,2023,12,12,11 to 12,0,1.231875,0,5.394375,0,0,0.1525,0.141875,13.881875,0,0,0,0.72375,0,0,0.260625,4.070625,0,0,0,1.105625,0,0,3.315,0,0,8.11875,0,0,0,0,17.46375,0,0,0,0
COBL2,CO,below,3630,2023,6,6,6,0,0,11.6125,0,0,0,2.604375,0.85625,28.450625,0,0,0,0,0,0,1.770625,0.268125,0,0,0,2.85875,0,0,0,0,0,14.168125,27.4025,0,0,0,0,0.14875,0.109375,0.520625,0
CWCAL1,CWC,above,3740,2022,50,50,> 50,0,3.944,0,11.01066667,0,0,0,1.478,16.72866667,0,0,0,0,0,0,0,0,0,0,0,0,1.212,0,0,0,0,0,8.567333333,0,0,0,12.93266667,0,0,0.170666667,0
CWCAL2,CWC,above,3710,2022,50,50,> 50,0,0,0.833333333,13.22733333,0,0,0,0,8.299333333,0,0,0,2.636666667,3.472,0.196,0,1.328,0,0,0,0,0.151333333,0,9,0,11.84733333,3.590666667,0,0,0,0,0.190666667,0.151333333,0,7.448,0
CWCBL1,CWC,below,3665,2022,21,25,21 to 25,0,2.2725,0,0,0,0,0,0.37875,0.99125,0,0,0,0,0.2975,0,0,0,0,0,0,0,0.3575,0,0,0,0,0,0,0,0,0,14.3175,0,0,5.06625,0
