spcode,n_above,mean_cover_above,sd_cover_above,n_below,mean_cover_below,sd_cover_below,mean_diff_above_minus_below,welch_t,welch_df,p_value,ci95_low,ci95_high,p_value_bh_fdr
BROTEC,108,20.568055555555556,21.994493765415122,248,15.865403225806451,20.30720379945354,4.702652329749105,1.8975160029721296,189.8550268698174,0.05927752223185162,-0.1859281286053962,9.591232788103607,0.14549937275090852
POPFRE,36,39.21861111111111,32.57337792499336,49,25.764081632653063,29.643044147430793,13.454529478458046,1.9541274922292877,71.30147116699564,0.05460883985728975,-0.27313383683609516,27.182192793752186,0.14549937275090852
QUEGAM,21,62.6247619047619,32.454874767752166,0,,,,,,,,,
BACSALF,18,20.671111111111113,20.666280546677648,154,24.861038961038957,25.33125907836411,-4.1899278499278445,-0.7933219649816192,23.414634638436016,0.435556231970881,-15.104841760165861,6.724986060310172,0.5450855182974866
TAMRAM,27,34.56666666666666,30.885142681579737,146,27.908150684931506,26.246753020948226,6.658515981735157,1.0521756791067696,33.30215617208905,0.3002940413224644,-6.212133928138757,19.52916589160907,0.4267336376687652
SACRAV,7,29.32857142857143,27.552308087570104,11,10.865454545454543,10.736212892483424,18.463116883116886,1.6930387141405803,7.175329112578558,0.133232262636388,-7.1966650551160924,44.122898821349864,0.2567986510803521
BACSALN,35,28.512285714285717,27.796778811022467,98,27.39928571428571,26.84380829566537,1.1130000000000067,0.20516700436806298,58.159403895332815,0.8381580406107522,-9.74538126554782,11.971381265547834,0.8381580406107522
SALEXI,44,20.270681818181814,15.51271997167685,202,36.22618811881188,28.56530210591595,-15.95550630063007,-5.174286441464695,116.39254773138916,9.654610929594167e-07,-22.062776884018643,-9.848235717241497,1.3033724754952125e-05
SALGOO,11,47.39545454545455,28.066111723441978,67,40.1565671641791,29.33153430531301,7.238887381275447,0.7877175491061232,13.840470341832868,0.4441437556498039,-12.492392085145909,26.970166847696802,0.5450855182974866
PHRAUS,39,21.029487179487177,18.65600001533554,78,10.940128205128207,15.98791877439327,10.08935897435897,2.8884138701525917,66.60018159820675,0.005218601948742178,3.116442957325771,17.06227499139217,0.023483708769339803
SOLCAN,34,23.28058823529412,19.972606837514178,14,9.607142857142858,6.551633300261768,13.67344537815126,3.554423792588997,44.74443621409054,0.0009077445319961133,5.924207686756573,21.422683069545947,0.004901820472779012
JUNBAL,44,15.546363636363639,17.460877743848496,111,12.008378378378383,14.547806178911122,3.5379852579852553,1.1902362173387906,67.90993353165966,0.23809780668807107,-2.3937021706874084,9.469672686657919,0.3781553400339952
PARINS,29,22.610689655172415,26.074717767413055,0,,,,,,,,,
ERINAU,14,30.93928571428571,28.07799041249918,9,44.21666666666667,37.30789360175672,-13.277380952380959,-0.9141270982252468,13.763623044136244,0.376386389608216,-44.47993577639906,17.925173871637142,0.5081216259710917
ACENEG,10,41.734,32.77721810444972,1,100.0,,,,,,,,
ARTLUD,43,9.339767441860463,11.923026239446669,37,11.054864864864864,12.265934901547825,-1.7150974230044014,-0.6316650784912359,75.53665948825838,0.52951280239108,-7.1234246534747445,3.6932298074659418,0.5944521658977093
