group1,group2,meandiff,p-adj,lower,upper,reject
ACENEG,ARTLUD,-36.8979,0.0001,-63.7814,-10.0144,True
ACENEG,BACSALF,-22.6084,0.2249,-48.6082,3.3915,False
ACENEG,BACSALN,-19.3387,0.6098,-45.5667,6.8893,False
ACENEG,BERFRE,-0.1342,1.0,-54.5861,54.3176,False
ACENEG,BRANIG,-14.7555,0.9999,-50.4026,20.8917,False
ACENEG,BRILON,-27.5668,0.1016,-56.7861,1.6524,False
ACENEG,BRORUB,-39.0361,0.0,-66.529,-11.5432,True
ACENEG,BROTEC,-29.7389,0.0044,-55.3316,-4.1461,True
ACENEG,CLELIG,-33.7471,0.0063,-63.3504,-4.1438,True
ACENEG,ECHCRU,1.3996,1.0,-29.982,32.7812,False
ACENEG,ELYELY,-21.9376,0.9565,-59.5129,15.6378,False
ACENEG,EQULAE,-37.6372,0.0,-63.8652,-11.4092,True
ACENEG,ERINAU,-10.8961,1.0,-41.5429,19.7507,False
ACENEG,EUPACE,-32.5149,0.065,-65.7006,0.6708,False
ACENEG,EUTOCC,-39.0557,0.0,-66.4755,-11.636,True
ACENEG,JUNBAL,-34.0182,0.0003,-60.1036,-7.9328,True
ACENEG,JUNLON,5.2019,1.0,-35.2181,45.622,False
ACENEG,JUNTOR,-35.3814,0.0077,-66.763,-3.9998,True
ACENEG,OENPAL,-30.6638,0.0213,-59.5609,-1.7667,True
ACENEG,PARINS,-24.4202,0.336,-54.0235,5.1831,False
ACENEG,PHRAUS,-32.7277,0.0011,-59.0923,-6.363,True
ACENEG,POLMON,-29.0611,0.0107,-55.3282,-2.794,True
ACENEG,POLVIR,-27.5105,0.1813,-58.3818,3.3609,False
ACENEG,POPFRE,-15.5684,0.959,-42.3562,11.2193,False
ACENEG,QUEGAM,15.5939,0.9956,-15.5215,46.7092,False
ACENEG,SACRAV,-28.9854,0.155,-60.9796,3.0089,False
ACENEG,SALEXI,-13.6586,0.9889,-39.4223,12.1052,False
ACENEG,SALGOO,-5.8535,1.0,-32.7786,21.0716,False
ACENEG,SALTRA,-28.8701,0.0188,-55.8617,-1.8785,True
ACENEG,SOLCAN,-27.7384,0.0551,-55.6841,0.2073,False
ACENEG,STETEN,-27.3394,0.414,-61.588,6.9093,False
ACENEG,TAMRAM,-18.0836,0.7389,-44.0789,7.9118,False
ACENEG,TYPDOM,-38.7592,0.0001,-66.4581,-11.0604,True
ACENEG,VERAME,-38.019,0.0001,-65.7179,-10.3202,True
ACENEG,VULOCT,-39.1851,0.0,-65.2383,-13.1319,True
ARTLUD,BACSALF,14.2896,0.0007,2.9761,25.6031,True
ARTLUD,BACSALN,17.5592,0.0,5.7308,29.3876,True
ARTLUD,BERFRE,36.7637,0.5758,-12.3994,85.9268,False
ARTLUD,BRANIG,22.1425,0.3395,-4.741,49.0259,False
ARTLUD,BRILON,9.3311,0.9877,-8.1551,26.8172,False
ARTLUD,BRORUB,-2.1382,1.0,-16.5556,12.2792,False
ARTLUD,BROTEC,7.1591,0.7491,-3.1847,17.5028,False
ARTLUD,CLELIG,3.1508,1.0,-14.9699,21.2715,False
ARTLUD,ECHCRU,38.2975,0.0,17.3975,59.1975,True
ARTLUD,ELYELY,14.9603,0.9942,-14.432,44.3527,False
ARTLUD,EQULAE,-0.7393,1.0,-12.5677,11.0891,False
ARTLUD,ERINAU,26.0018,0.0003,6.2223,45.7813,True
ARTLUD,EUPACE,4.383,1.0,-19.1392,27.9052,False
ARTLUD,EUTOCC,-2.1578,1.0,-16.4352,12.1196,False
ARTLUD,JUNBAL,2.8797,1.0,-8.6291,14.3885,False
ARTLUD,JUNLON,42.0999,0.0006,9.1486,75.0511,True
ARTLUD,JUNTOR,1.5165,1.0,-19.3835,22.4165,False
ARTLUD,OENPAL,6.2341,1.0,-10.7083,23.1766,False
ARTLUD,PARINS,12.4777,0.759,-5.643,30.5984,False
ARTLUD,PHRAUS,4.1702,1.0,-7.9581,16.2986,False
ARTLUD,POLMON,7.8368,0.8379,-4.078,19.7517,False
ARTLUD,POLVIR,9.3875,0.9988,-10.7382,29.5131,False
ARTLUD,POPFRE,21.3295,0.0,8.307,34.3519,True
ARTLUD,QUEGAM,52.4918,0.0,31.9937,72.9898,True
ARTLUD,SACRAV,7.9126,1.0,-13.8965,29.7217,False
ARTLUD,SALEXI,23.2394,0.0,12.4796,33.9991,True
ARTLUD,SALGOO,31.0444,0.0,17.7417,44.3472,True
ARTLUD,SALTRA,8.0278,0.9421,-5.409,21.4646,False
ARTLUD,SOLCAN,9.1595,0.9389,-6.1037,24.4227,False
ARTLUD,STETEN,9.5585,1.0,-15.4409,34.558,False
ARTLUD,TAMRAM,18.8143,0.0,7.5112,30.1175,True
ARTLUD,TYPDOM,-1.8613,1.0,-16.6677,12.9451,False
ARTLUD,VERAME,-1.1211,1.0,-15.9275,13.6853,False
ARTLUD,VULOCT,-2.2872,1.0,-13.7228,9.1483,False
BACSALF,BACSALN,3.2696,1.0,-6.3835,12.9227,False
BACSALF,BERFRE,22.4741,0.999,-26.2114,71.1597,False
BACSALF,BRANIG,7.8529,1.0,-18.147,33.8527,False
BACSALF,BRILON,-4.9585,1.0,-21.0532,11.1362,False
BACSALF,BRORUB,-16.4277,0.0004,-29.1215,-3.7339,True
BACSALF,BROTEC,-7.1305,0.1351,-14.8936,0.6326,False
BACSALF,CLELIG,-11.1388,0.8238,-27.9206,5.6431,False
BACSALF,ECHCRU,24.0079,0.0017,4.2575,43.7584,True
BACSALF,ELYELY,0.6708,1.0,-27.9156,29.2572,False
BACSALF,EQULAE,-15.0289,0.0,-24.682,-5.3758,True
BACSALF,ERINAU,11.7122,0.8925,-6.8485,30.273,False
BACSALF,EUPACE,-9.9066,0.9996,-32.4135,12.6004,False
BACSALF,EUTOCC,-16.4474,0.0003,-28.982,-3.9128,True
BACSALF,JUNBAL,-11.4098,0.0013,-20.6685,-2.1512,True
BACSALF,JUNLON,27.8103,0.2401,-4.4241,60.0447,False
BACSALF,JUNTOR,-12.7731,0.862,-32.5235,6.9774,False
BACSALF,OENPAL,-8.0554,0.9919,-23.5576,7.4468,False
BACSALF,PARINS,-1.8119,1.0,-18.5938,14.97,False
BACSALF,PHRAUS,-10.1193,0.0437,-20.1377,-0.1009,True
BACSALF,POLMON,-6.4527,0.8298,-16.2115,3.3061,False
BACSALF,POLVIR,-4.9021,1.0,-23.8313,14.0271,False
BACSALF,POPFRE,7.0399,0.8849,-4.0441,18.124,False
BACSALF,QUEGAM,38.2022,0.0,18.8776,57.5268,True
BACSALF,SACRAV,-6.377,1.0,-27.0871,14.3331,False
BACSALF,SALEXI,8.9498,0.0168,0.6405,17.2591,True
BACSALF,SALGOO,16.7549,0.0,5.3428,28.1669,True
BACSALF,SALTRA,-6.2618,0.9848,-17.8298,5.3063,False
BACSALF,SOLCAN,-5.1301,1.0,-18.7769,8.5168,False
BACSALF,STETEN,-4.731,1.0,-28.7777,19.3157,False
BACSALF,TAMRAM,4.5248,0.9953,-4.477,13.5266,False
BACSALF,TYPDOM,-16.1509,0.0013,-29.2848,-3.0169,True
BACSALF,VERAME,-15.4107,0.0036,-28.5446,-2.2767,True
BACSALF,VULOCT,-16.5768,0.0,-25.7443,-7.4093,True
BACSALN,BERFRE,19.2045,1.0,-29.6033,68.0122,False
BACSALN,BRANIG,4.5833,1.0,-21.6447,30.8113,False
BACSALN,BRILON,-8.2281,0.9958,-24.6888,8.2325,False
BACSALN,BRORUB,-19.6974,0.0,-32.8521,-6.5426,True
BACSALN,BROTEC,-10.4001,0.0015,-18.896,-1.9042,True
BACSALN,CLELIG,-14.4084,0.293,-31.5416,2.7248,False
BACSALN,ECHCRU,20.7383,0.0313,0.6885,40.7882,True
BACSALN,ELYELY,-2.5988,1.0,-31.3929,26.1952,False
BACSALN,EQULAE,-18.2985,0.0,-28.5502,-8.0468,True
BACSALN,ERINAU,8.4426,0.9995,-10.4364,27.3216,False
BACSALN,EUPACE,-13.1762,0.9612,-35.9463,9.5939,False
BACSALN,EUTOCC,-19.717,0.0,-32.7182,-6.7158,True
BACSALN,JUNBAL,-14.6795,0.0,-24.5607,-4.7983,True
BACSALN,JUNLON,24.5407,0.5457,-7.878,56.9593,False
BACSALN,JUNTOR,-16.0427,0.4082,-36.0925,4.0072,False
BACSALN,OENPAL,-11.325,0.6868,-27.2069,4.5568,False
BACSALN,PARINS,-5.0815,1.0,-22.2147,12.0517,False
BACSALN,PHRAUS,-13.3889,0.0007,-23.9853,-2.7926,True
BACSALN,POLMON,-9.7223,0.1067,-20.0736,0.629,False
BACSALN,POLVIR,-8.1717,0.9998,-27.413,11.0696,False
BACSALN,POPFRE,3.7703,1.0,-7.8388,15.3794,False
BACSALN,QUEGAM,34.9326,0.0,15.3021,54.5631,True
BACSALN,SACRAV,-9.6466,0.9991,-30.6424,11.3492,False
BACSALN,SALEXI,5.6802,0.892,-3.3175,14.6779,False
BACSALN,SALGOO,13.4853,0.0073,1.5626,25.4079,True
BACSALN,SALTRA,-9.5314,0.441,-21.6034,2.5407,False
BACSALN,SOLCAN,-8.3997,0.9429,-22.4763,5.677,False
BACSALN,STETEN,-8.0006,1.0,-32.2938,16.2926,False
BACSALN,TAMRAM,1.2552,1.0,-8.3857,10.8961,False
BACSALN,TYPDOM,-19.4205,0.0,-33.0004,-5.8405,True
BACSALN,VERAME,-18.6803,0.0001,-32.2603,-5.1003,True
BACSALN,VULOCT,-19.8464,0.0,-29.6422,-10.0506,True
BERFRE,BRANIG,-14.6212,1.0,-69.0731,39.8307,False
BERFRE,BRILON,-27.4326,0.9838,-77.9109,23.0456,False
BERFRE,BRORUB,-38.9018,0.4524,-88.4008,10.5971,False
BERFRE,BROTEC,-29.6046,0.9248,-78.074,18.8648,False
BERFRE,CLELIG,-33.6129,0.8256,-84.3144,17.0887,False
BERFRE,ECHCRU,1.5338,1.0,-50.2262,53.2938,False
BERFRE,ELYELY,-21.8033,1.0,-77.5366,33.93,False
BERFRE,EQULAE,-37.503,0.5086,-86.3107,11.3048,False
BERFRE,ERINAU,-10.7619,1.0,-62.0797,40.5559,False
